data: x, p, v, rho
left rarefaction, right shock
-0.440594 3 0 1
-0.440494 3 0 1
-0.440394 3 0 1
-0.440294 3 0 1
-0.440194 3 0 1
-0.440094 3 0 1
-0.439994 3 0 1
-0.439894 3 0 1
-0.439794 3 0 1
-0.439694 3 0 1
-0.439594 3 0 1
-0.439494 3 0 1
-0.439394 3 0 1
-0.439294 3 0 1
-0.439194 3 0 1
-0.439094 3 0 1
-0.438994 3 0 1
-0.438894 3 0 1
-0.438794 3 0 1
-0.438694 3 0 1
-0.438594 3 0 1
-0.438494 3 0 1
-0.438394 3 0 1
-0.438294 3 0 1
-0.438194 3 0 1
-0.438094 3 0 1
-0.437994 3 0 1
-0.437894 3 0 1
-0.437794 3 0 1
-0.437694 3 0 1
-0.437594 3 0 1
-0.437494 3 0 1
-0.437394 3 0 1
-0.437294 3 0 1
-0.437194 3 0 1
-0.437094 3 0 1
-0.436994 3 0 1
-0.436894 3 0 1
-0.436794 3 0 1
-0.436694 3 0 1
-0.436594 3 0 1
-0.436494 3 0 1
-0.436394 3 0 1
-0.436294 3 0 1
-0.436194 3 0 1
-0.436094 3 0 1
-0.435994 3 0 1
-0.435894 3 0 1
-0.435794 3 0 1
-0.435694 3 0 1
-0.435594 3 0 1
-0.435494 3 0 1
-0.435394 3 0 1
-0.435294 3 0 1
-0.435194 3 0 1
-0.435094 3 0 1
-0.434993 3 0 1
-0.434893 3 0 1
-0.434793 3 0 1
-0.434693 3 0 1
-0.434593 3 0 1
-0.434493 3 0 1
-0.434393 3 0 1
-0.434293 3 0 1
-0.434193 3 0 1
-0.434093 3 0 1
-0.433993 3 0 1
-0.433893 3 0 1
-0.433793 3 0 1
-0.433693 3 0 1
-0.433593 3 0 1
-0.433493 3 0 1
-0.433393 3 0 1
-0.433293 3 0 1
-0.433193 3 0 1
-0.433093 3 0 1
-0.432993 3 0 1
-0.432893 3 0 1
-0.432793 3 0 1
-0.432693 3 0 1
-0.432593 3 0 1
-0.432493 3 0 1
-0.432393 3 0 1
-0.432293 3 0 1
-0.432193 3 0 1
-0.432093 3 0 1
-0.431993 3 0 1
-0.431893 3 0 1
-0.431793 3 0 1
-0.431693 3 0 1
-0.431593 3 0 1
-0.431493 3 0 1
-0.431393 3 0 1
-0.431293 3 0 1
-0.431193 3 0 1
-0.431093 3 0 1
-0.430993 3 0 1
-0.430893 3 0 1
-0.430793 3 0 1
-0.430693 3 0 1
-0.430593 3 0 1
-0.430493 3 0 1
-0.430393 3 0 1
-0.430293 3 0 1
-0.430193 3 0 1
-0.430093 3 0 1
-0.429993 3 0 1
-0.429893 3 0 1
-0.429793 3 0 1
-0.429693 3 0 1
-0.429593 3 0 1
-0.429493 3 0 1
-0.429393 3 0 1
-0.429293 3 0 1
-0.429193 3 0 1
-0.429093 3 0 1
-0.428993 3 0 1
-0.428893 3 0 1
-0.428793 3 0 1
-0.428693 3 0 1
-0.428593 3 0 1
-0.428493 3 0 1
-0.428393 3 0 1
-0.428293 3 0 1
-0.428193 3 0 1
-0.428093 3 0 1
-0.427993 3 0 1
-0.427893 3 0 1
-0.427793 3 0 1
-0.427693 3 0 1
-0.427593 3 0 1
-0.427493 3 0 1
-0.427393 3 0 1
-0.427293 3 0 1
-0.427193 3 0 1
-0.427093 3 0 1
-0.426993 3 0 1
-0.426893 3 0 1
-0.426793 3 0 1
-0.426693 3 0 1
-0.426593 3 0 1
-0.426493 3 0 1
-0.426393 3 0 1
-0.426293 3 0 1
-0.426193 3 0 1
-0.426093 3 0 1
-0.425993 3 0 1
-0.425893 3 0 1
-0.425793 3 0 1
-0.425693 3 0 1
-0.425593 3 0 1
-0.425493 3 0 1
-0.425393 3 0 1
-0.425293 3 0 1
-0.425193 3 0 1
-0.425093 3 0 1
-0.424992 3 0 1
-0.424892 3 0 1
-0.424792 3 0 1
-0.424692 3 0 1
-0.424592 3 0 1
-0.424492 3 0 1
-0.424392 3 0 1
-0.424292 3 0 1
-0.424192 3 0 1
-0.424092 3 0 1
-0.423992 3 0 1
-0.423892 3 0 1
-0.423792 3 0 1
-0.423692 3 0 1
-0.423592 3 0 1
-0.423492 3 0 1
-0.423392 3 0 1
-0.423292 3 0 1
-0.423192 3 0 1
-0.423092 3 0 1
-0.422992 3 0 1
-0.422892 3 0 1
-0.422792 3 0 1
-0.422692 3 0 1
-0.422592 3 0 1
-0.422492 3 0 1
-0.422392 3 0 1
-0.422292 3 0 1
-0.422192 3 0 1
-0.422092 3 0 1
-0.421992 3 0 1
-0.421892 3 0 1
-0.421792 3 0 1
-0.421692 3 0 1
-0.421592 3 0 1
-0.421492 3 0 1
-0.421392 3 0 1
-0.421292 3 0 1
-0.421192 3 0 1
-0.421092 3 0 1
-0.420992 3 0 1
-0.420892 3 0 1
-0.420792 3 0 1
-0.420692 3 0 1
-0.420592 3 0 1
-0.420492 3 0 1
-0.420392 3 0 1
-0.420292 3 0 1
-0.420192 3 0 1
-0.420092 3 0 1
-0.419992 3 0 1
-0.419892 3 0 1
-0.419792 3 0 1
-0.419692 3 0 1
-0.419592 3 0 1
-0.419492 3 0 1
-0.419392 3 0 1
-0.419292 3 0 1
-0.419192 3 0 1
-0.419092 3 0 1
-0.418992 3 0 1
-0.418892 3 0 1
-0.418792 3 0 1
-0.418692 3 0 1
-0.418592 3 0 1
-0.418492 3 0 1
-0.418392 3 0 1
-0.418292 3 0 1
-0.418192 3 0 1
-0.418092 3 0 1
-0.417992 3 0 1
-0.417892 3 0 1
-0.417792 3 0 1
-0.417692 3 0 1
-0.417592 3 0 1
-0.417492 3 0 1
-0.417392 3 0 1
-0.417292 3 0 1
-0.417192 3 0 1
-0.417092 3 0 1
-0.416992 3 0 1
-0.416892 3 0 1
-0.416792 3 0 1
-0.416692 3 0 1
-0.416592 3 0 1
-0.416492 3 0 1
-0.416392 3 0 1
-0.416292 3 0 1
-0.416192 3 0 1
-0.416092 3 0 1
-0.415992 3 0 1
-0.415892 3 0 1
-0.415792 3 0 1
-0.415692 3 0 1
-0.415592 3 0 1
-0.415492 3 0 1
-0.415392 3 0 1
-0.415292 3 0 1
-0.415192 3 0 1
-0.415092 3 0 1
-0.414991 3 0 1
-0.414891 3 0 1
-0.414791 3 0 1
-0.414691 3 0 1
-0.414591 3 0 1
-0.414491 3 0 1
-0.414391 3 0 1
-0.414291 3 0 1
-0.414191 3 0 1
-0.414091 3 0 1
-0.413991 3 0 1
-0.413891 3 0 1
-0.413791 3 0 1
-0.413691 3 0 1
-0.413591 3 0 1
-0.413491 3 0 1
-0.413391 3 0 1
-0.413291 3 0 1
-0.413191 3 0 1
-0.413091 3 0 1
-0.412991 3 0 1
-0.412891 3 0 1
-0.412791 3 0 1
-0.412691 3 0 1
-0.412591 3 0 1
-0.412491 3 0 1
-0.412391 3 0 1
-0.412291 3 0 1
-0.412191 3 0 1
-0.412091 3 0 1
-0.411991 3 0 1
-0.411891 3 0 1
-0.411791 3 0 1
-0.411691 3 0 1
-0.411591 3 0 1
-0.411491 3 0 1
-0.411391 3 0 1
-0.411291 3 0 1
-0.411191 3 0 1
-0.411091 3 0 1
-0.410991 3 0 1
-0.410891 3 0 1
-0.410791 3 0 1
-0.410691 3 0 1
-0.410591 3 0 1
-0.410491 3 0 1
-0.410391 3 0 1
-0.410291 3 0 1
-0.410191 3 0 1
-0.410091 3 0 1
-0.409991 3 0 1
-0.409891 3 0 1
-0.409791 3 0 1
-0.409691 3 0 1
-0.409591 3 0 1
-0.409491 3 0 1
-0.409391 3 0 1
-0.409291 3 0 1
-0.409191 3 0 1
-0.409091 3 0 1
-0.408991 3 0 1
-0.408891 3 0 1
-0.408791 3 0 1
-0.408691 3 0 1
-0.408591 3 0 1
-0.408491 3 0 1
-0.408391 3 0 1
-0.408291 3 0 1
-0.408191 3 0 1
-0.408091 3 0 1
-0.407991 3 0 1
-0.407891 3 0 1
-0.407791 3 0 1
-0.407691 3 0 1
-0.407591 3 0 1
-0.407491 3 0 1
-0.407391 3 0 1
-0.407291 3 0 1
-0.407191 3 0 1
-0.407091 3 0 1
-0.406991 3 0 1
-0.406891 3 0 1
-0.406791 3 0 1
-0.406691 3 0 1
-0.406591 3 0 1
-0.406491 3 0 1
-0.406391 3 0 1
-0.406291 3 0 1
-0.406191 3 0 1
-0.406091 3 0 1
-0.405991 3 0 1
-0.405891 3 0 1
-0.405791 3 0 1
-0.405691 3 0 1
-0.405591 3 0 1
-0.405491 3 0 1
-0.405391 3 0 1
-0.405291 3 0 1
-0.405191 3 0 1
-0.405091 3 0 1
-0.40499 3 0 1
-0.40489 3 0 1
-0.40479 3 0 1
-0.40469 3 0 1
-0.40459 3 0 1
-0.40449 3 0 1
-0.40439 3 0 1
-0.40429 3 0 1
-0.40419 3 0 1
-0.40409 3 0 1
-0.40399 3 0 1
-0.40389 3 0 1
-0.40379 3 0 1
-0.40369 3 0 1
-0.40359 3 0 1
-0.40349 3 0 1
-0.40339 3 0 1
-0.40329 3 0 1
-0.40319 3 0 1
-0.40309 3 0 1
-0.40299 3 0 1
-0.40289 3 0 1
-0.40279 3 0 1
-0.40269 3 0 1
-0.40259 3 0 1
-0.40249 3 0 1
-0.40239 3 0 1
-0.40229 3 0 1
-0.40219 3 0 1
-0.40209 3 0 1
-0.40199 3 0 1
-0.40189 3 0 1
-0.40179 3 0 1
-0.40169 3 0 1
-0.40159 3 0 1
-0.40149 3 0 1
-0.40139 3 0 1
-0.40129 3 0 1
-0.40119 3 0 1
-0.40109 3 0 1
-0.40099 3 0 1
-0.40089 3 0 1
-0.40079 3 0 1
-0.40069 3 0 1
-0.40059 3 0 1
-0.40049 3 0 1
-0.40039 3 0 1
-0.40029 3 0 1
-0.40019 3 0 1
-0.40009 3 0 1
-0.39999 3 0 1
-0.39989 3 0 1
-0.39979 3 0 1
-0.39969 3 0 1
-0.39959 3 0 1
-0.39949 3 0 1
-0.39939 3 0 1
-0.39929 3 0 1
-0.39919 3 0 1
-0.39909 3 0 1
-0.39899 3 0 1
-0.39889 3 0 1
-0.39879 3 0 1
-0.39869 3 0 1
-0.39859 3 0 1
-0.39849 3 0 1
-0.39839 3 0 1
-0.39829 3 0 1
-0.39819 3 0 1
-0.39809 3 0 1
-0.39799 3 0 1
-0.39789 3 0 1
-0.39779 3 0 1
-0.39769 3 0 1
-0.39759 3 0 1
-0.39749 3 0 1
-0.39739 3 0 1
-0.39729 3 0 1
-0.39719 3 0 1
-0.39709 3 0 1
-0.39699 3 0 1
-0.39689 3 0 1
-0.39679 3 0 1
-0.39669 3 0 1
-0.39659 3 0 1
-0.39649 3 0 1
-0.39639 3 0 1
-0.39629 3 0 1
-0.39619 3 0 1
-0.39609 3 0 1
-0.39599 3 0 1
-0.39589 3 0 1
-0.39579 3 0 1
-0.39569 3 0 1
-0.39559 3 0 1
-0.39549 3 0 1
-0.39539 3 0 1
-0.39529 3 0 1
-0.39519 3 0 1
-0.39509 3 0 1
-0.394989 3 0 1
-0.394889 3 0 1
-0.394789 3 0 1
-0.394689 3 0 1
-0.394589 3 0 1
-0.394489 3 0 1
-0.394389 3 0 1
-0.394289 3 0 1
-0.394189 3 0 1
-0.394089 3 0 1
-0.393989 3 0 1
-0.393889 3 0 1
-0.393789 3 0 1
-0.393689 3 0 1
-0.393589 3 0 1
-0.393489 3 0 1
-0.393389 3 0 1
-0.393289 3 0 1
-0.393189 3 0 1
-0.393089 3 0 1
-0.392989 3 0 1
-0.392889 3 0 1
-0.392789 3 0 1
-0.392689 3 0 1
-0.392589 3 0 1
-0.392489 3 0 1
-0.392389 3 0 1
-0.392289 3 0 1
-0.392189 3 0 1
-0.392089 3 0 1
-0.391989 3 0 1
-0.391889 3 0 1
-0.391789 3 0 1
-0.391689 3 0 1
-0.391589 3 0 1
-0.391489 3 0 1
-0.391389 3 0 1
-0.391289 3 0 1
-0.391189 3 0 1
-0.391089 3 0 1
-0.390989 3 0 1
-0.390889 3 0 1
-0.390789 3 0 1
-0.390689 3 0 1
-0.390589 3 0 1
-0.390489 3 0 1
-0.390389 3 0 1
-0.390289 3 0 1
-0.390189 3 0 1
-0.390089 3 0 1
-0.389989 3 0 1
-0.389889 3 0 1
-0.389789 3 0 1
-0.389689 3 0 1
-0.389589 3 0 1
-0.389489 3 0 1
-0.389389 3 0 1
-0.389289 3 0 1
-0.389189 3 0 1
-0.389089 3 0 1
-0.388989 3 0 1
-0.388889 3 0 1
-0.388789 3 0 1
-0.388689 3 0 1
-0.388589 3 0 1
-0.388489 3 0 1
-0.388389 3 0 1
-0.388289 3 0 1
-0.388189 3 0 1
-0.388089 3 0 1
-0.387989 3 0 1
-0.387889 3 0 1
-0.387789 3 0 1
-0.387689 3 0 1
-0.387589 3 0 1
-0.387489 3 0 1
-0.387389 3 0 1
-0.387289 3 0 1
-0.387189 3 0 1
-0.387089 3 0 1
-0.386989 3 0 1
-0.386889 3 0 1
-0.386789 3 0 1
-0.386689 3 0 1
-0.386589 3 0 1
-0.386489 3 0 1
-0.386389 3 0 1
-0.386289 3 0 1
-0.386189 3 0 1
-0.386089 3 0 1
-0.385989 3 0 1
-0.385889 3 0 1
-0.385789 3 0 1
-0.385689 3 0 1
-0.385589 3 0 1
-0.385489 3 0 1
-0.385389 3 0 1
-0.385289 3 0 1
-0.385189 3 0 1
-0.385089 3 0 1
-0.384988 3 0 1
-0.384888 3 0 1
-0.384788 3 0 1
-0.384688 3 0 1
-0.384588 3 0 1
-0.384488 3 0 1
-0.384388 3 0 1
-0.384288 3 0 1
-0.384188 3 0 1
